Id,Title,Author,Year,Pages,Genre,Finished,Rating
1,"The Golden Harbor","Nadia El-Khoury",2018,364,Adventure,yes,4.3
2,"The Silent Kingdom","Hiroshi Tanaka",2005,512,Fantasy,no,3.8
3,"Storms of the East","Hiroshi Tanaka",2012,423,Historical Fiction,yes,4.4
4,"Digital Alchemy","Priya Nair",2010,297,Technology,no,3.7
5,"The Quantum Veil","Priya Nair",2016,455,Sci-Fi,yes,4.2
6,"Echoes in the Code","Priya Nair",2022,389,Tech Thriller,yes,4.6
7,"Letters from the Frontier","Samuel Whitmore",1993,541,History,yes,4.0
8,"The Broken Compass","Samuel Whitmore",1999,472,Adventure,y,4.1
9,"A Republic of Shadows","Samuel Whitmore",2006,612,Political Thriller,no,3.9
10,"The Painter's Secret","Samuel Whitmore",2013,384,Mystery,yes,4.3
11,"Twilight Over Verona","Isabella Moretti",2001,368,Romance,yes,4.5
12,"The Venetian Cipher","Isabella Moretti",2007,421,Mystery,yes,4.7
13,"Whispers at Midnight","Isabella Moretti",2012,309,Drama,no,3.8
14,"A Song for the Stars","Isabella Moretti",2018,452,Historical Romance,yes,4.6
15,"The Fire of Siena","Isabella Moretti",2024,391,Thriller,yes,4.4

